data,giorno,ore_coda_verso_sud,attesa_max_sud_min,coda_max_sud_km,ore_coda_verso_nord,attesa_max_nord_min,coda_max_nord_km,ore_di_dati
2026-07-11,sab,0.0,0,0,0.0,0,0,0.2
2026-07-12,dom,8.1,90,9.0,7.0,40,4.0,15.3
2026-07-13,lun,12.7,90,9.0,10.3,50,5.0,22.2
2026-07-14,mar,7.4,50,5.0,6.7,30,3.0,23.9
2026-07-15,mer,8.8,50,5.0,1.9,20,2.0,24.0
2026-07-16,gio,13.3,80,8.0,7.3,30,3.0,24.0
2026-07-17,ven,17.6,110,11.0,8.6,40,4.0,24.0
2026-07-18,sab,23.2,200,20.0,12.5,50,5.0,24.0
2026-07-19,dom,16.3,140,14.0,10.7,40,4.0,24.0
2026-07-20,lun,15.3,190,19.0,8.4,50,5.0,24.0
2026-07-21,mar,10.4,70,7.0,7.8,30,3.0,24.0
2026-07-22,mer,12.0,50,5.0,8.4,40,4.0,23.3
2026-07-23,gio,14.4,80,8.0,9.8,50,5.0,24.0
2026-07-24,ven,17.8,90,9.0,12.0,50,5.0,24.0
2026-07-25,sab,17.4,100,10.0,14.2,40,4.0,24.0
2026-07-26,dom,10.2,80,8.0,13.0,40,4.0,21.2
2026-07-27,lun,12.0,120,12.0,10.7,50,5.0,23.9
2026-07-28,mar,6.9,50,5.0,9.4,40,4.0,24.0
2026-07-29,mer,6.9,40,4.0,9.9,50,5.0,24.1
2026-07-30,gio,13.4,50,5.0,11.7,60,6.0,24.0
2026-07-31,ven,17.5,50,5.0,15.5,80,8.0,24.0
2026-08-01,sab,16.6,90,9.0,22.4,60,6.0,23.8
2026-08-02,dom,9.8,45,4.0,15.0,90,9.0,22.5
2026-08-03,lun,10.8,110,11.0,14.2,70,7.0,22.2
2026-08-04,mar,6.2,40,4.0,10.5,40,4.0,23.6
2026-08-05,mer,6.5,20,2.0,11.3,50,5.0,24.0
2026-08-06,gio,7.5,30,3.0,9.9,50,5.0,18.2
2026-08-07,ven,9.0,40,4.0,16.8,110,11.0,21.3
2026-08-08,sab,11.6,40,4.0,16.5,110,10.0,24.0
2026-08-09,dom,5.9,40,4.0,18.9,70,7.0,24.0
2026-08-10,lun,7.1,40,4.0,12.7,50,5.0,24.1
2026-08-11,mar,3.0,20,2.0,10.4,40,4.0,23.9
2026-08-12,mer,0.8,10,1.0,9.4,40,4.0,24.0
2026-08-13,gio,2.3,20,2.0,11.9,60,6.0,24.0
2026-08-14,ven,4.8,20,2.0,11.3,50,5.0,24.0
2026-08-15,sab,8.6,30,3.0,13.7,55,6.0,24.0
2026-08-16,dom,5.4,40,4.0,12.5,60,6.0,24.0
2026-08-17,lun,7.3,50,5.0,10.1,40,4.0,24.0
2026-08-18,mar,0.4,10,1.0,8.3,40,4.0,24.0
2026-08-19,mer,3.0,20,2.0,10.1,50,5.0,24.0
2026-08-20,gio,4.2,20,2.0,9.9,90,9.0,24.0
2026-08-21,ven,11.2,50,5.0,10.9,80,8.0,23.9
2026-08-22,sab,11.1,70,7.0,9.9,50,5.0,24.0
2026-08-23,dom,7.7,50,5.0,13.3,50,5.0,24.0
2026-08-24,lun,6.7,50,5.0,6.8,40,4.0,23.9
2026-08-25,mar,3.2,20,2.0,7.8,30,3.0,24.0
2026-08-26,mer,3.2,20,2.0,8.8,40,4.0,24.0
2026-08-27,gio,1.5,40,4.0,2.0,50,5.0,12.5
2026-08-28,ven,3.0,50,5.0,3.0,50,5.0,5.9
2026-08-29,sab,6.4,80,8.0,8.7,60,6.0,14.4
2026-08-30,dom,6.3,50,5.0,8.7,60,6.0,18.4
2026-08-31,lun,2.8,90,9.0,3.2,30,3.0,13.9
2026-09-01,mar,3.0,40,4.0,3.5,20,2.0,17.7
2026-09-02,mer,3.1,40,4.0,3.2,10,1.0,19.7
2026-09-03,gio,5.9,50,5.0,5.9,40,4.0,19.6
2026-09-04,ven,8.9,80,8.0,6.2,50,5.0,20.4
2026-09-05,sab,9.9,80,8.0,11.2,50,5.0,22.2
2026-09-06,dom,5.8,60,6.0,11.5,60,6.0,21.2
2026-09-07,lun,4.0,60,6.0,4.1,60,6.0,15.9
2026-09-08,mar,1.5,20,2.0,4.3,30,3.0,19.4
2026-09-09,mer,3.0,50,5.0,6.6,60,6.0,19.7
2026-09-10,gio,5.6,50,5.0,6.4,50,5.0,20.3
2026-09-11,ven,7.6,70,7.0,7.0,50,5.0,20.3
2026-09-12,sab,8.1,50,5.0,8.7,40,4.0,21.7
2026-09-13,dom,6.6,40,4.0,10.3,50,5.0,22.1
2026-09-14,lun,3.4,50,5.0,4.0,40,4.0,15.5
2026-09-15,mar,0.0,0,0,7.2,30,3.0,21.9
2026-09-16,mer,4.4,20,2.0,8.2,50,5.0,24.0
2026-09-17,gio,5.5,20,2.0,8.1,40,4.0,24.1
2026-09-18,ven,11.7,40,4.0,9.9,60,6.0,24.0
2026-09-19,sab,8.6,40,4.0,9.6,50,5.0,24.0
2026-09-20,dom,4.8,40,4.0,10.8,50,5.0,24.0
2026-09-21,lun,4.2,40,4.0,8.5,40,4.0,24.0
2026-09-22,mar,0.0,0,0,5.5,30,3.0,17.2
