stunde_lokalzeit,minuten_beobachtet,anteil_stau_prozent,anteil_stau_sued_prozent,anteil_stau_nord_prozent
0,4157,8.7,4.2,6.0
1,4192,8.3,4.1,5.8
2,4230,7.1,4.3,4.3
3,4196,5.6,4.1,1.8
4,4251,4.8,4.8,0.5
5,4144,6.7,6.5,1.7
6,3876,16.7,16.7,3.8
7,3901,30.8,28.3,8.2
8,3924,41.7,38.3,17.3
9,3973,51.3,42.7,30.3
10,3699,81.5,61.0,66.4
11,3834,97.4,82.4,89.5
12,3844,100.0,90.5,97.9
13,3871,100.0,92.1,98.5
14,3832,100.0,86.4,98.4
15,3919,100.0,81.5,98.3
16,4116,100.0,69.7,99.3
17,3922,99.9,53.8,99.2
18,3825,91.6,36.8,88.6
19,3966,70.0,23.9,64.9
20,4145,49.6,20.0,39.1
21,4139,32.2,12.6,23.0
22,4059,19.8,6.5,15.0
23,4051,11.2,5.8,7.9
